raw,rate,human_rate
"Excelente Todo muy bien, despacho en término. El producto como se lo ve en la publicación. Muy conforme.",positive,positive
Excelente Me encanto es mas de lo que esperaba.,positive,positive
"Muy bueno La verdad me resultaron muy buenos, los mejores true wireless que podes encontrar en relación calidad precio. La cancelación de ruidos es impresionante. El izquierdo se me cayo ya dos veces en la calle y una vez en el agua y sigue funcionando como si nada le hubiese pasado. El emparejamiento es inmediato cuando te lo pones en los oidos y tenes el bluetooth activado en el celu. No tuve problemas con la autonomia de la batería por el uso que le doy yo (entrenar o cuando voy caminando a algun lado). Quizás lo que menos me gusta es que no se escuchen tanto los bajos",positive,positive
"Muy malo NO ES UN PRODUCTO ORIGINAL, TIENE UNA CINTA TAPANDO LA MEDIDA ESCRITA CON LAPICERA. UNA LASTIMA",negative,negative
londas pero ordinarias la puntera no me gustó. enseguida se despegó la punta y se rompió la tela,positive,negative
"Bueno Me gusto tiene algunos detalles que no me convencen, como el gas se gasta sin usarla osea que pierde el gas tenes que usarla hasta terminarlo si o si. Pero muy linda muy Real",positive,positive
"Muy bueno El producto está bien, es de buena calidad",positive,positive
"Regular El producto vino mal envaladoy la caja semi abierta. los estiquers algunos rotos, la parte donde va la tapa del horno se sale no queda bien agarrada . mal servicio",negative,negative
Excelentes Excelentes y muy buenas las zapatillas,negative,positive
"No es lo que esperaba No lo pude utilizar ya que no entra el casco que tengo, es uno cerrado pero normal, tamaño estándar. Además necesitaba que sea extraíble y el mismo es fijo. Ni me sirvió",negative,negative
Pidan foto real del producto. El producto es distinto al de publicacion. Mas trucho. No tiene los biseles a cada extremo. Es de otra marca al de la publicación. Y no se hace cargo de su error.  dice que el la foto es distinta al producto que vende porque es la que le dio el proveedor. Saque ustedes sus conclusiones. Pero pidan la foto real del producto.,negative,negative
"Correcto Excelente producto. Muy buena atención, llego todo en condiciones y en menos tiempo del pactado.",positive,positive
"Muy mala calidad Muy mala calidad, queda muy alto, el boton queda flotando, no trae pegamento, la lamina de vidrio es ultra delgada, por lo que, por mas cuidado que uno le ponga, tiende a fisurarse",negative,negative
Regular Muy linda calidad pero el estampado muy malo podrían mejorarlo la verdad se despegó en el 1er uso,negative,negative
Hermoso Excelente el desayuno. Original la presentación,positive,positive
Buena Esta muy buena lo único que le queda un poco grande pero el error fue mio,positive,positive
"Exelente Todo muy bien, buen vendedor recomendable!",positive,positive
Genial!!! Es genial porque podes editarlo y quedan perfectos!!!! Ideales para los niños!!!,positive,positive
10 excelente confeccion color y cuerina,positive,positive
Excelente Excelente producto y muy buena atención,positive,positive
"NO GASTEN EN ESTA SOLDADORA. Es mala calidad. Supuestamente es ideal para soldar chapa fina pero no sirve. Tanto en caño estructural de 1,2 y 1,6 no se puede hacer un cordón de 1cm porque perfora la chapa; aún en la graduación mas baja. Realmente no sirve para chapa, con una inverter pequeña podés lograr mejores resultados. Un fiasco.",negative,negative
"Consume muchísima luz ! Calienta bien pero consume una barbaridad, hagan la prueba con el medidor, enchufen y desenchufen y van a ver como gira, ademas de que la factura de luz se triplicó, no la recomiendo",negative,negative
"Excelente Excelente , la verdad que muy buena , super practico",positive,positive
Excelente Excelente  producto  tal como lo describe la publicación,positive,positive
"Buenicimo Muy bueno y fácil intalacion, el pulsador es de mala calidad",positive,negative
Malo La calidad de los cordones es mala y los ojaalillos metalicos del pasa cordon se salen todos...no es buena calidad.,negative,negative
Muy malo No me funciono no lo comieron las ratas,negative,negative
excelente producto excelente calidad. muy buen tamaño. De hecho estoy pensando comprar otro para mi otro perrito,positive,positive
De 10! Excelente producto. Tiene mejorado el sistema de uso. Y mejor que las versiones anteriores.,positive,positive
Excelente Una Divinura!  El vendedor Excelente !!! Gracias,positive,positive
"Excelente Muy bien todo, recomendable.Volveria a comprar sin duda",positive,positive
Buena calidad.completo para secundaria Excelente precio y calidad. Muy recomendable para usar en secundaria,positive,positive
Buen producto Me llegó rapidísimo y bien envuelto. Es exactamente lo que esperaba.,positive,positive
"Excelente Es justo lo que necesitaba, son fichas no muy faciles de conseguir.",positive,positive
Practico Practico lo que esperaba buen cable,positive,positive
"Regular Regular parecia teflonado el kit pero no, ademas llego con abolladuras, no me gusto.",negative,negative
Muy buena connota Era lo que esperaba me encontré con un lindo reloj que cubre las expectativas que tuve al comprarlo,positive,positive
"Malo La verdad malo,empieza a pesar a partir de dos gramos, y calcula cualquier cosa aveces ,es imposible trabajar en cocina con esto",negative,negative
Muy bueno Muy bueno y completo. Recomendable.,positive,positive
Todo bien. Lo recomiendo Todo bien. El envió demoró más lo que me informaban al momento d a compa,positive,positive
"Muy malo Hola soy Carlos Alberto Chico de San Rafael - Mendoza, quisiera saber quien hace estas compras de productos con mi cuenta de Gmail y mis datos personales ya que yo no e realizado dichas compras. Tuve que dar de baja a mi tarjeta VISA por que me venían compras en Dolares que yo no realizaba y ahora continuamos con las compras a mi nombre - Necesito saber los datos del comprador o demando a mercado libre. Cel 2604592547.",negative,negative
No es original No es original...tiene otro olor al q uso siempre,negative,negative
Muy malo Bueno le falta un poco más de volumen,negative,negative
"Excelente Muy buen producto, tiene muchas funciones practicad y muy sencilla de usar",positive,positive
"Malo Malísimo nada que ver a la foto,no es q esperaba la mejor calidad por el precio pero fue una desilusión.",negative,negative
"Mala calidad Mala calidad, se salieron las letras impresas de la marca antes de ponermela",negative,negative
el sistema de compra esta bueno no lo desacrediten buenas tardes la verdad pense q iba a ser original pero no no lo es se traba el R1 no carga bien no lo recomiendo el tema es no tener tiempo para ocuparme de ir devolver,negative,negative
Maso Para lo que pague está bien...,negative,positive
