raw,rate,human_rate
"Malo Baja calidad, cuando levanta temperatura aparecen manchas en la membrana plastica. Espero que dure unos meses",negative,negative
Pesimo No funcionaron!!!!   Pésimo producto no lo recomiendo   Ni a los que no son de Neon!!!,negative,negative
"Excelente Excelente producto, excelente vendedor, rapido envio contesto siempre mis consultas, recomendable.",positive,positive
Mala No imprime no la puedo usar aun!,negative,negative
"Excelente muy bueno! vendedor muy recomendable, cumplió en todo y el producto fue lo esperado! gracias",positive,positive
Mala Me faltaron algunas cosas que nunca me respondieron ni dieron solucion,negative,negative
"Mala calidad Muy mala calidad, no alcance a darle sos usos y la tela se abrió. No lo recomiendo.",negative,negative
"Desconforme No me llego el pegamento para tips, lo reclamé al vendedor quedo en enviarlo y aún sigo esperando.",negative,negative
Excelente Muy buena. Gracias. Saludod.xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,positive,positive
"Esperaba más. El libro no parece lo que es. Parece una revista. Es bastante escueto, y para lo que un director de fotografía necesita, se queda muy atrás. Casi no aporta nada.",negative,negative
Malo El color de la foto diferia mucho del real. Foto celeste producto azul. Muy engañosa,negative,negative
"cuidado con el producto y con el vendedor! A mi me vino manchado con pintura, me costo la devolución pq no me crean que me había llegado así. quise cambiarlo y no me dejaron. tengan cuidado!!!!",negative,negative
"El juego es muy bueno ,buena imaguen y calidad , Muy bueno excelente lo recomiendo",positive,positive
"Excelente excelente producto, llego a tiempo, muy bueno",positive,positive
"Poco satisfecha con su confección Pensé que era más elastizado y solo me gustó el color, no va con talle real",negative,negative
"Muy malo No recomiendo, son para descartar al tercer uso. La Caja portacubiertos resistente a lavavajillas es extremadamamente fina. En el correo argentino rompieron envoltorio y portacubiertos. No recomiendo.",negative,negative
Muy bueno Muy buen producto estoy más que conforme,negative,positive
Vidrioso el producto Nunca funcionó..... No juntaba presión la bomba.... Me gaste 2 litros de líquido de freno y nada... Fui... Compre otra en otro lugar y a la segunda purgada ya tenía embrague,negative,negative
"Producto Muy buenos los botines, de muy buena calidad, son recomendables llego en tiempo y forma, cuando el vendedor nos dijo llego. Muchas gracias.",positive,positive
"Regular La calidad es buena, pero la suela es de muy mala calidad, se rompen  desde adentro donde uno pisa, y por la tanto  te lastima  el talón.",negative,negative
"Mala calidad. Muy mala calidad. Se derritio toda la parrilla del frente en los primeros usos, cosa que nunca me paso con otros caloventores.",negative,negative
Eficiencia y calidad Rapidez y calidad. Me dio indicaciones precisas de cómo cuidar el cerramiento para mayor durabilidad,positive,positive
"No recomendable El comprador bien. El producto llego en tiempo y forma. Sin embargo no es lo que dice la publicacion. No dura ni loco 24 hs. Hice 2 pruebas, a 10 horas llego tibio para frio y a 8/9 horas llega tibia. No me sirvio, lo devolví. Debe durar como mucho 6 horas el agua caliente.",negative,negative
para salir del paso mala funda se nota que no es original en la textura interna es similar pero la externa se nota mucho sobre todo en la dureza del plastico y lo poco anti deslizante que es,negative,negative
"Muy buen producto Muy bueno. Excelente, llegó todo perfecto",positive,positive
No era lonq se vendia en las fotos ............... No era lo q demuestra en las fotos de ventas,negative,negative
"Mala calidad se descose rápido. Mala calidad se me descosió en una semana en una de las tiras y en otros puntos, se ve muy linda en diseños  , pero si vas a llevar cosas dentro y usarla como mochila se te va a romper, a menos que no lleves casi nada de peso",negative,negative
"eexcelente! súper recomendable excelente! la barra, la atención, el envío, todo. faltaron unos tornillos y la explicación y comunicación para comprarlos nos fue exacta. económicos como para instalarla enseguida pero ofrecian el envío.  súper recomendable. gracias",positive,positive
"Excelente Muy buenos pinceles, se adaptan a todas las tecnicas",positive,positive
"Desastre Nunca llego, reclame y no se hicieron cargo",negative,negative
Muy bueno Muy buen producto  la calidad firestone  recomendable,positive,positive
Excelente Tiene muy buena definición. En calidad precio impecable.  Es un poco mas grande y pesado de lo que pensaba pero es muy solido.,positive,positive
Muy malo Compre 3 y 1 me llegó quemado muchas vueltas para responder y ninguna solución después..,negative,negative
Bueno Queda un buen efecto mate. Bien.,negative,positive
Excelente Excelente Todo! Proveedor recomendable! Gracias,positive,positive
Excelente todo Muy buen producto tal cual como esperaba,positive,positive
malarelacion la cintura no guarda relación con el largo (debería traer algo para permitir acortarlo),negative,negative
Excelente Al momento lo estoy probando y no tengo ninguna critica. Muy buen producto y de buen material. Muy satisfecho.,positive,positive
Una mochila más del montón Complica bastante el sistema de cierre y las costuras no son buenas. Tiene muchos bolsillos pero no para cargar demasiado,positive,negative
muy lindo excelente ..pero muy chiquito.. no parece en el dibujo...,positive,negative
"hay que comprar con garantía escrita uno funciona hasta ahora bien , los cargue 72 horas , pero uno se cae la luz, creo que me aperrearon con la batería , lo puse a cargar 48 horas y me duro con buena potencia una noche ,los tengo puestos con el sensor de movimiento  a los dos , y les da a los dos la misma intensidad de sol a pleno , no se si tengo garantía de las baterías , y no las consigo la batería de litio 3,7v incluida 4400mach",negative,negative
"muy recomendable El producto es muy bueno, yo tuve que hacer un rejunte entre el que yo tenia roto y el que compre porque el modelo de mi maquina es muy viejo pero el pedal me sirvió a la perfección",positive,positive
"Muy defectuoso Una porquería, no la llegué a usar 2 meses y ya la tengo que mandar a la garantía",negative,negative
Bien Buenos por el precio..............,positive,positive
mas o menos muy bueno el parlante pero el micrófono se rompió de la nada no duró ni dos días,negative,negative
excelente .buena calidad .................,positive,positive
Muy delicado Muy práctico y muy lindo justo lo que esperaba,positive,positive
Muy buen casco Muy buen.producto.justo lo que necesitaba,negative,positive
Rregular O no la supe armar. Pero se balancea mucho.,negative,negative
"Muy bueno Impecable, muy conforme, a tiempo y en buen estado, recomendable",positive,positive
Muy bueno Muy recomendable si buscas un pase de batalla ;),positive,positive
"Malo Faltó de potencia la verdad no la recomiendo, la dejé cargando y la verdad nada 0 potencia para atornillar, el producto fue despachado como corresponde en tiempo y forma ahí no hay quejas!!!",negative,negative
Un fiasco Es malo. A los pocos días dejó de funcionar.,negative,negative
Malo No sirven para hierro se barren todas,negative,negative
"Malo Muy endeble, los pernos de las ruedas que son de plastico se doblaron enseguida",negative,negative
"No la recomiendo Maso no mas esperaba, no cumplió mis espectativas.",negative,negative
excelente gracias Excelente la tela. superó mis expectativas. Muy recomendables.,positive,positive
"MALO Hola compré hace 3 meses el aparato de radiofrecuencia,primero dejó de funcionar un manipulo ,luego el otro,lo usé con los cuidados y tal cual dice el vídeo explicativo. Si bien el aparato parece que da resultados,estoy enojada con el vendedor,ya que te dan un número para que reclames por cualquier inconveniente,y jamas responden.",negative,negative
"malo, y el vendedor poco responsable son truchos, explotaron ni bien los instale, compre en otro lugar y anduvieron perfecto, hice el comentario al vendedor y ni siquiera me respondio",negative,negative
"Muy malo Nunca llego el producto, el vendedor trata mal al cliente, me gustaria que el trato sea distinto ya que todos tratamos de que mercadolibre sea algo confiable, lo es totalmente, pero cuando los vendedores se desligan de los problemas, habla de la calidad de vendedor que es.   Gracias, saludos.",negative,negative
"DesepciOnadO La verdad Que me decepsiOnO, pense Que al tener 20000 mlh cargaria varias veces me celu, cOmO muchO una carga y media aguantO y nO me sirve asi, le emvie mensage al cOmpradOr aXel y hasta ahOra nO me cOntesta",negative,negative
Muy bueno A mis gatos les gustó mucho. Veremos qué efecto tiene sobre su pelaje.,positive,positive
Excelente producto Muy buen producto recién hace unos días lo instalé pero funciona de 10,positive,positive
"La dejo porque ya la vio mi nena y no da devolver Estéticamente es linda. Pero funciónalmente no.  La horquilla no tiene rulemanes y trae ( en mi caso solo uno) unos tapónes huecos donde pasa el caño de la rueda delantera y eso mantiene que no tenga juego. Aparte de que el manubrio, no tiene tirafondo sino un tornillo transversal a la horquilla. Lo demas bastante bien. Menos mal mo trae pedales y cadena!!",negative,negative
Perfecto Perfecto todo bien llego bien el producto perfecto,positive,positive
"no es lo que se ofrece no es Blackout, es una tela comun, no cumple su objetivo de proteccion contra el sol...",negative,negative
Muy bueno. Calidad extra. Vuelvo a comprar. Excelente producto. Muy buena cantidad. Todo de diez.,positive,positive
"Excelente Es excelente, me enamore a penas lo vi! 10 puntos",positive,positive
"MUY COMODO GRAN ESPACIO, SEGURO, CUMPLE CON MIS ESPECTATIVAS, RECOMENDABLE 100%",positive,positive
Malo No me parecio tan bueno. Con un buen filtro se nota la diferencia en el gusto del agua y con este no.,negative,negative
Producto recomendable Muy bueno y satisfecho por su calidad,positive,positive
Malo Bastante malo se rompio el plastico donde entra la boquilla y no aspira mucho pero x el precio no esperaba mucho mas,negative,positive
Ni Todavía no lo recibí y hace más de 15 días!!!  Apqlp!!!,negative,negative
Malo Vino fallado recin lo fui a poner y tiene un punto blanco en el medio que no deja pegarlo en esa parte,negative,negative
Horrible Horrible le faltaron 5 accesorios lo tendrían que revisar antes de entregar no lo recomiendo ni un poco No lo devolví para no arruinarle el día del niño a mi hijo,negative,negative
"espectacular el pantalon ! hola! si disculpa se me paso el tiempo. compre un pantalon exelente , muy muy lindo y acorde a como lo habia pedido, la atencion muy buena del vendedor y rapidicimo llego . todo de primera . recomendable!",positive,positive
"Muy malo Muy malo. La barra central NO ES DE METAL, es un plastico revestido de plateado. Y hace juego con las dos otras piezas al hacer las dominadas (peso 52kg)    El vendedor anunció que llegaba a los 100 cm pero no es así, llega hasta 95cm, con lo cual no me sirvió para ponerlo donde quería.",negative,negative
Muy Malo Mala imagen. Anduvo solo un día y luego se llenó de rayas la pantalla,negative,negative
Cuando completen opino. Dice + Liga o LED y solo vino la bici.,negative,negative
"Muy bueno Ha llegado en perfectas condiciones, y en el tiempo establecido",positive,positive
Ccompre dos veces muy mala las 2p No es el publicado en la foto aparece liso y viene con una linea en el medio,negative,negative
Buena Muy economica le flalto el fondo y lo divisorios de la bajo mesada,negative,positive
Destiñen! Malo! destiñen...y las fundas son chicas! Las bordo y las celestes!,negative,negative
Excelente Espectacular. 100% recomendable,positive,positive
Muy malo No lo pude abrir xq se me rompió la compu y hoy q quise abrirlo no lo pude hacer,negative,negative
"Impecable, llegó antes de lo estipulado Divino !! Muy buena calidad, super abrigadito",positive,positive
Excelente!! Muy bueno Exelente producto. Estoy muy conforme,negative,positive
"Estafadores Muy malo el producto, son cargadores de celular con el pin modificado, no se recomiendan para nada",negative,negative
"mala La calcomanía solo se pega del lado de afuera, debiera ser con pegamento frontal para adherirla a la vidriera de mi comercio del lado de adentro y evitar que por vandalismo me la arranque cualquier peaton.",negative,negative
Excelente Muy buenas ......!!!!!!!!!!!!!!!!,positive,positive
"Malo Para ser un L es chico , no me lo quisieron cambiar",negative,negative
Genial Muy buen celular... es lo que esperaba,positive,positive
Regular No es el mismo que el de la imagen .,negative,negative
"zapatos de fabrica. cocidos"" pegado excelente!!! compre dos pares hace 20 dias y ya se me despejaron. los uso solo para ir a la ofi",negative,negative
Lindo! Muy buen producto! Me encantó....,negative,positive
nada excelente producto lo recibí dentro de lo esperado,positive,positive
Excelente Excelente producto y servicio. Muy buena calidad de producto y rápida respuesta. 100% recomendables,positive,positive
"Inconvenientes con el producto: funcional y físico El producto es tal cual la foto, literal, pero lo que no se nota y nos dimos cuenta al recibirlo es que al tacto todos los cantos son filosos (me refiero al borde soporte/trípode y a los bordes de la tapa apoya pinches, después el plato de base y la olla están bien) es como que el metal fue calado y no se limaron los bordes.   El quemador gotea/se filtra por los costados, por lo que el fuego salia por los bordes del metal ademas de salir por el agujero central y/o los agujeritos secundarios, por lo que:   1) había mucho más fuego del necesario   2) es un peligro, porque nos goteaba y de a momentos se encendían fuego las gotas que se derramaban en el plato de apoyar de abajo, dura segundos, pero podría ser potencialmente peligroso de caer en un mantel o algo que se pueda encender   3) hay muy poca distancia entre el fuego del quemador y la base de la ollita, por lo que el fuego era muy intenso en el centro y provocaba que hierva el queso, entre eso y que goteaba terminamos por sacar el quemador y poner unas velitas (porque lo que buscabamos era mantener el queso caliente, no que hierva).  Si uno lo usa con velitas, evita tocar los bordes del trípode y no usa la tapa apoya pinches (por los bordes filosos) está todo bien, sobre todo porque no es algo que se use todos los días.  Quería comentar estos detalles porque yo lo compré justamente porque los comentarios y calificaciones del producto eran todas muy buenas y confié en eso.",negative,negative
Excelente Muy buen producto .. se entregó antes d lo pactado ..,positive,positive
Excelente Excelente atención. Excelente el producto. Sin demoras. Gracias,negative,positive
