raw,rate,human_rate
"Excelente muy lindas,delicadas y fue todo lo que esperabamos,estamos muy conformes  es mas que recomendable",positive,positive
Muy malo Lo compré y no funcionó nunca!!,negative,negative
Maravilloso Maravilloso. Excelente entrega.,negative,positive
"Muy decepcionante Ni se arrima a lo que ves en la foto. No es la foto real.  Ni se nota el grabado. Ni el espesor que ves no es de bordes redondeados para nada, de alli su peso muy liviano. Al menos es dorado. Presentación en una maraña de plástico y cinta.",negative,negative
Muy malo Malísimo. No noté la diferencia en15 días . Solo me arruinó el estómago.,negative,negative
Muy malo Muy buena atención y rapidez en la entrega...,negative,negative
Lo compraria de nuevo! Eficiente para uso familiar. Conforme por el precio.,positive,positive
"Excelente Es perfecto. Liviano, amplio, abrigado. Un producto que vale la pena.",positive,positive
MUY LINDO EL TRICICLO MUY BUEN PRODUCTO. TODAS LAS PIEZAS EN SU ENVOLTORIO Y LO MAS IMPORTANTE... NO LE FALTÓ NINGÚN ACCESORIO!  LA SUJECIÓN DEL ASIENTO PARECE UN POCO BLANDA PARA UN NIÑO DE 48 MESES; PERO EL USO Y EL TIEMPO LO DIRÁ!,positive,positive
"Malo Algunas piezas vinieron astilladas, al igual que la caja que vino tmb rota.",negative,negative
"excelente calidad hermosos, excelente calidad  y entrega a tiempo, muy recomendable",positive,positive
"Cara para la  calidad del producto Los agujeros donde pasan los gabchos no están reforzados de ninguna manera y la cortina es bastante finita,  en relación precio calidad,  no la recomiendo",negative,negative
"Excelente Era lo que esperaba, muy buenas",positive,positive
"Muy malo muy poco pegamento .. tenia otra marca alternativa, y necesitaba una que pegue un poco mas.. compre MAE porque era la buena y tiene menos pegamento que la alternativa",negative,negative
llego en tiempo  y forma! colocado y funcionando! va tofdo bien llevo recorrido acentandola 170 kilometros,positive,positive
Muy bueno Exacto muy bueno recomendable echo de buen material,positive,positive
Alumbran poco y llegaron desarmadas Alumbran muy poco no son de 9 whatt .no las recomiendo.,negative,negative
"Buena Muy buena ,todo perfecto,en tiempo y forma",positive,positive
Muy bueno Muy bueno por su valor y practico,negative,positive
"Medio pelo paga abajo El sacabocado no saca ni medio bocado,flojo de calidad pero concuerda con su costó.",negative,negative
Recomendable. Ya había probado la marca en otra moto. Es muy bueno. Lo recomiendo.,positive,positive
Malo Muy Malo. Compre una hidro y mandaron otra de menor característica.  Llame por tres días para que me devuelvan la llamada. Ofrecieron mandarme otra todavía  de menor precio. Pensando que  no me daría cuenta.  Quedaron en reintegrar el dinero.  Pero sigo esperando.,negative,negative
No recomiendo el vendedor. Posventa cero El producto es excelente. El vendedor me lo entrego con el vidrio roto y no se hizo cargo.  Tampoco mercado de envio,negative,negative
Muy baja cálidad Un desastre el repuesto muy baja calidad,negative,negative
Muy buena Muy práctico y fácil para realizar los estribos,negative,positive
"desconforme no muy conforme con el material, la parte blanca parece, o es de goma eva.... asi que nada, igualmente como es de niño, no pasa nada.. pero no le veo mucha duracion!",negative,negative
"NO RECOMIENDO ESTO, VENDEDOR DESINTERESADO Pésimo, no anda el sistema del purificador, hice el reclamo y aun no contestan... solo lo derivan a Noga, y esto no es así... el vendedor tiene la responsabilidad de atender al comprador con las fallas al recibir la mercadería...",negative,negative
Super recomendable!! Excelente atención y producto Excelente! Mucho mejor de lo que esperaba. La mejor atención y despacho rapidísimo! :),positive,positive
Excelentes muy buen producto excelentes. Sin duda compraría de nuevo el material es muy bueno y confiable,positive,positive
Muy bueno Excelente vendedor.. todo bien,positive,positive
"Muy malo Me parecio un desastre la coordinacion de la entrega, 2 semenas prometiendo que al proximo dia iba estar y nunca fue asi. Gracias!",negative,negative
