raw,rate,human_rate
Excelente MUY BUENA Y MUY  VERSÁTIL EN SU USO POR SU TAMAÑO.SALUDOS.,positive,positive
Excelente producto Excelente producto. Lo coloque a una altura tal que la rueda trasera quedé apoyada y  funciona perfecto.,positive,positive
"no sirve No pertenece a la Motosierra Lusqtoff ya que no combina el paso, Yo hice el reclamo pero no tuve respuesta.-",negative,negative
Todo bien Todo salio muy bien el producto llego sin problemas.,positive,positive
"no sirve nunca funcionó bien,,lo toma y reconoce pero no emite ni trasmite",negative,negative
"Excelente Muy serios, muy profesionales, el producto impecable, recomendable 100%",positive,positive
"Excelente Muy buen producto, relación precio calidad.",positive,positive
Excelente Excelente producto!!! 100% recomendable.,positive,positive
"Excelente buenísimo, muy buen producto, fácil de usar",positive,positive
"no funcionó corectamente el producto me llego en plazo. al hacer la coneccion NO realizaba bien todas las funciones. ose no lo pude instalar. lo retiré, hice el reclamo todavia no me dieron solucion.",negative,negative
Excelente Muy bueno el producto  Recomendable,positive,positive
Excelente Calidad maxima para mi niño! Facil de usar y viene con la porcion justa para servir,positive,positive
Excelente Muy responsable recomendado para la compra de los productos,positive,positive
Malo El pincel no es ese.malisimo.cualkier cosa,negative,negative
Regio Excelente!!!  recibí el producto ofrecido en calidad y dimensiones..Gracias,positive,positive
Muy bueno muy buen producto comparando con el precio.  Ya es la segunda veq que los compro.,positive,positive
No tiene esa capacidad es.mentira Está mochila NO ES PARA 30 LTR!!!,negative,negative
"Funciona pero...hace ruidos al accionarla. El bombín funciona , pero no es la marca que ofrece la publicación, me mandaron otra, además hace ruido al accionarla, en fin...",negative,negative
"Recomendable Excelente calidad del filtro, probado en mi 17-50 2.8.. Entrega rápida.Slds",positive,positive
Bien Buena calidad por el preció que tiene,positive,positive
"Son flexibles como yo quería... Muy lindas numero justito,   parecen cómodas,,  no las use todavía, son flexibles eso si,  como yo las quería..",negative,positive
"Muy malo Le reclame varias veces la factura y mas allá de contestar la semana próxima la enviaremos, esto nunca sucedió",negative,negative
"Lo compré: Perdí el importe y el tiempo. MAL  Lo instalé luego de confirmar con el vendedor que servía para un extractor que tengo instalado, me duro dos Días y dejó de funcionar.   Desconozco si se quemó por falla de producto o por mal asesorado.  Muchas Gracias",negative,negative
Muy malo Mandan los que ellos quieren y las cosas por la mitad,negative,negative
"Excelente Un buen producto ,buenos materiales muy bien logrado",positive,positive
horrible y ordinario es pésimo pierde por todos lados y no tiene reparación. deplorable no lo recomiendo,negative,negative
Genial Genial. Excelente producto. Gran calidad,positive,positive
Excelente Todo ok. Completo y buen producto,positive,positive
"Excelente Está perfecto, muy buena relación precio calidad, excelente",positive,positive
"Descripción incompleta. El producto es excelente, la descripción debería decir que el teclado tiene configuración en inglés. (no tiene la tecla Ñ, por ejemplo).",negative,negative
"Muy malo Compre y al probarla no funcionaba el cabezal de las dos  paletas batidoras. Reclame por correo como indicaban y al NO tener respuesta  llame a Buenos Aires porque soy del interior, hablé más de 10 minutos y la chica me dijo que enviaba mi reclamo a mi correo que todavía hace 2 semanas lo estoy esperando. Me dijeron que la  llevara al servis, allí me dijeron que esta trabado de fábrica y que solo la parte del motor tiene DOS  años de garantía y eso es repuesto que sale $800. Asi pasaron los días para devolverla porque te dicen que no hagas el reclamo por Mercado. UNA VERGUENZA. Pague y nunca la pude usar ni devolver.",negative,negative
Lindo Fue un hermoso regalo para mi mama esta muy feliz es muy abrigado,positive,positive
Excelente Están muy buenas y son fáciles a la hora de calzarlas,positive,positive
Excelente Muy buen producto funciona de 10 hace muy bien las virolas,positive,positive
Muy económico pero malo Muy baja calidad el producto. Muy buena atención,negative,negative
Se rompió rápido al sacar de la caja Un desastre fue el vidrio se rompió más rápido al sacar de la caja,negative,negative
"No puedo dar mi opinión Me equivoqué en el pedido, no era lo que quería y como el envío adónde vivo es carísimo. Me lo dejé para tratar de cambiarlo acá",negative,negative
"Excelente Tercera vez que pido sus gustos y cada vez mas encantado con ellos, los sigo recomendado, excelente calidad precio",positive,positive
"Malo El producto esta bien en cuanto al tamaño y la apariencia, pero el mecanismo de movimiento, no es de buen calidad, dejo de caminar a los 15 minutos de ser utilizado.",negative,negative
"Muy bueno Todo perfecto, buen producto lo recomiendo",positive,positive
"muy bueno excelente, muy buena presentacion y erfectamente copiado",positive,positive
Muy bueno Son livianas y comodas. Excelente relación precio - calidad.,positive,positive
Cumple con lo esperado Muy útil. Buena calidad   Recomendable 100%,positive,positive
"Excelente Muy rapido el despacho, y el producto idem al publicado.",positive,positive
No cumplió mis expectativas No es verdad que dura toda la noche,negative,negative
Malo es muy chico se traba al oscilar los inclinometros,negative,negative
Malo No puedo acceder al whasst y no dura mucho la bateria,negative,negative
muy recomendable muy buena calidad muy buen producto,positive,positive
"Mediocre El producto es normal, sólido en cuanto a estructura y respecto precio /función la relación es buena. Pero les faltó el termostato, algo que enchina cuesta $ 5...es decir 0.1 dolar en cantidad... muchachos no sean ta mediocres, no pueden traer este tipo de aparatos...",negative,negative
"Muy bueno anda muy , todo perfecto, muy bien",positive,positive
De mala calidad No es lo q paresia en las fotos,negative,negative
Muy bueno Muy buen anda.y finciona perfecto,positive,positive
"Buenísimo Muy bueno. Precio, calidad y cantidad. Recomendable. Gracias",positive,positive
Malo Dos veces tuve problemas con el producto. Lo tuve que devolver y ahora buscaré algo más confiable.,negative,negative
"Fui estafado compre el producto, vino fallado, pedí un cambio y después de un mes, a solo un día de que se cerrara mi reclamo, solo por asistencia de mercado libre, confirmo que no tenia stock. es una estafa descarada, porque hasta unos días aseguro enviar el producto pero nunca lo realizo. es un descarado estafador",negative,negative
Excelente atención!!! Excelente calidad y buen precio!!!,positive,positive
Malísimo se hace pedazos Es muy malo se hace pedazos el pedal del centrifugado. Ademas el vendedor no se hace cargo y es un irrespetuoso.,negative,negative
"Buena calidad, mala atención Material de calidad, buena fuerza de sujeción de los imanes.   NO carga rápido  NO transfiere datos    Puede ser que no sea compatible con samsung S9+, aunque te lo venden como compatible con los últimos modelos.   En cuanto al vendedor, no fue nada atento siendo que le compre 3 cables y se enojo porque no lo arregle con el la devolución, encima que me vendieron algo que no funciono, se molesta porque lo devuelvo por Mercado libre.",negative,negative
Hermosas Tal cual se ven en las fotos De 10!!! recomiendo el producto!.,positive,positive
"MALO pésimo producto, calidad muy mala    PESIMA ATENCION DEL VENDEDOR    ME FALTARON TODOS LOS PICOS, NUNCA ME RECONOCIERON EL RECLAMO.",negative,negative
"Safa Por el precio safa, muy plástica y cero precisión, para cortar  papeles o vinilos  así nomas sirve bien",negative,positive
Excelente Muy linda. Excelente producto. Gracias..,positive,positive
Muy malo No me pareció eficaz. Es muy chica para lo que necesitaba. Los topes de plástico de los ganchos de metal se salieron y perdieron antes de usarla. Mala elección de mi partr,negative,negative
Una joyita Ahun no las use...pero se ven muy buenas !,positive,positive
No cumplió mis expectativas. No pega bien. Quedan burbujas.,negative,negative
Muy linda definision Me re gusto tiene buena definision y muy lindos colores,positive,positive
Excelente Todo muy bien. Según acordamos.,positive,positive
"Muy buen pantalón. Todo de 10, buena calidad. Muy buena compra, buena calidad, excelente precio.",positive,positive
Bien Es una remera muy básica acordé al precio,negative,positive
Malo no me gusta . no funciona correctamente,negative,negative
Muy malo La verdad que me tarda 3 días en secar la ropa,negative,negative
Buena pero tamaño chico Mu hijo la quiere cambiar porque le quedo un poco chica la camiseta.Necesito saber donde ir a cambiarla por favor!gracias.Somos de zona norte y no pudimos hacer el reclamo antes por cuestiones de trabajo.,negative,negative
"No representativas Un desastre, las tiras no son nada representativas, dieron positivas con una orina de una nena de 7 años, que valga la aclaración, no consume. Totalmente disconforme",negative,negative
"exelente muy bueno , deliciosa agua, ningún problema",positive,positive
"Excelente Todo genial, muy recomendable.Gracias!",positive,positive
Buenísimo! Excelente.. los niños se fueron re contentos con sus cepillitos.. graciss,positive,positive
Bien Muy lindo......................,positive,positive
Muy malo Imposible activar se puede devolver,negative,negative
Muy malo Malisimo pura agua no tiene ningun aroma y lo poco que tiene parece liquido limpiador,negative,negative
Recomendable Buenas terminaciones y resistentes...soportan buen peso,positive,positive
"Muy bueno todo correcto todavía no la use pero todo en buenas condiciones , estoy muy conforme compraría nuevamente cualquier repuesto",positive,positive
"Buena calidad Muy buena bicicleta, recomendable!",positive,positive
MUY BUENO Muy bien. Me gusto y llego bien dentro del plazo pactado.,negative,positive
"bueno cubiertas, buenas y de durabilidad",positive,positive
"Muy malo , me llego todo pegado hecho una piedra noc puede tomar perdi la plata",negative,negative
"Muy bueno Buen producto, filtra muy bien la luz, lo compre en color arena y queda muy lindo estéticamente",positive,positive
"Mala calidad de la goma plomada La calidad del descarne es buena, pero la goma plomada se derritio en el primer uso y por lo tanto no cumple para el fin para el cual esta diseñado. Es un delantal para soldadura que no se puede usar para soldar aparentemente.",negative,negative
Genual Exelente producto y muy buena atencion del personal de la empresa,positive,positive
"Fácil de utilizar, registra muy bien la presión. Es Bárbaro. Lo recomiendo!! Fácil de utilizar, te toma muy bien la presión. El cardiólogo me recomendó tener un tensiómetro digital de brazo porque registra muy bien la presión.",positive,positive
"Malo no sirve, es un caño rigido, nada flexible",negative,negative
Muy bien! Todo excelente. Cumple con lo ofrecido. Recomendable,positive,positive
Sno como yo : lindas y negras. Hermosas....cómodas...de excelente calidad. No paro de usarlas.,positive,positive
Muy malo Muy baja calidad de los muñecos. Blister abierto y pegado.,negative,negative
Geniial Funciona barbaro! Son re practicas ????,positive,positive
Un desastre es la ultima vez que compro esta mesa Un desastre hoy le puse las patas y desarmo toda una porqueria la mesa la tuve que tirar se destartalo toda una vez puesta las patas la quise enderezar y se empezo a quebrar toda la madera encima los clavitos que tiene para clavarla son muy finitos por el peso de la mesa una muy mala compra.,negative,negative
"Muy bueno Barbaro, tal cual se ve en la foto, Mi hija feliz!!!",positive,positive
Muy buena Excelente cocina super recomendable,positive,positive
Exelente Exelente producto muy completo  yvrevomendable,positive,positive
