raw,rate,human_rate
"Muy bueno Muy buen producto , excelente calidad altamente recomendable",positive,positive
"100% CALIDAD Excelente, 100% Ringke, no conozco nada mejor!!",positive,positive
"Malo Todo bien tanto el producto como la atención llegó en tiempo y forma nada de que quejarse ,muy bueno-",negative,negative
"Hermoso!!! Muy lido set,muy buen producto(quise poner 5 estrellas)",negative,positive
Le doy un 10! Excelente pieza de relojería!!��,positive,positive
"Muy buen producto Es a mi parecer el mejor impermeabilizante. Yo puse en mi terraza hace unos seis años y ahora voy a pasar de nuevo, sólo por precaución. Recomendable 100x100.",positive,positive
Excelente Hermosos y excelente  calidad. Recomendable,positive,positive
Uno de los mejores vasos termicos!!! El vaso está terrible. Cumple totalmente con las espectativas. Es uno de los mejores.,positive,positive
Buenisimo Buenisimo!muy buena calidad y duracion,positive,positive
Es de muy mala calidad La verdad es de muy mala calidad,negative,negative
"Excelente La calidad y los dijes colgantes, preciuosos!!!",positive,positive
"Muy bueno! Muy buena placa, muy buena calidad del producto!!",positive,positive
Muy malo Creia que alumbraba mas y una ya no funciona,negative,positive
"Malo Poca potencia, pense que la llama era mas fuerte.",negative,negative
Muy bien Es el producto que esperaba muy bueno,positive,positive
Bueno May buen producto por el precio,negative,positive
Excelente Sin ningún problema la verdad recomdable,positive,positive
Maso Hola si no son como pensé se  escucha sólo con el  volumen más alto y hacen dolor el oido,negative,negative
"Mal Hice la compra de un pata para,  cómo no lo retire me dijeron que me hacían la devolución del dinero y no me hicieron nada todavía. Quiero saber cuando me lo hacen.",negative,negative
para melamina no sirve este disco hoja sierra mdf 255 mm no sirve para cortar melamina cacha un monton,negative,negative
Una desilusión Placa de muy mala calidad no la recomiendo  para nada  si sabia que era temporal no la compraba 3 meses colocada  pésima recepción de señal y el pin se desoldo completo..,negative,negative
No me gusto Todavia no pago la primer cuota y solo anda una . dejo de andar de la nada,negative,negative
excelente!!! aprenden fácil con ellos excelente!!! ya aprendió a patinar mi nena,negative,positive
Impecable! Perfil de excelente calidad. Los cortes muy bien terminados y las medidas correctas.,positive,positive
