raw,rate
Muy malo No era lo que esperaba en la foto se ve una cosa y en realidad era otra,negative
Muy bueno La computadora es original. Es un poco lenta pero es logico por las limitaciones tipicas del tamano. La pantalla es correcta. En general el producto es bueno.,positive
Muy malo Malísimo un mes se usó y no anda .cómo hago para q me reconozcan el producto?,negative
"Buena calidad Muy lindo , pensé que era un poco más grande, pero me gustó de todas formas",positive
"Excelente equipo muy buenos materiales ,mejor de lo que esperaba",positive
reeeee malass mui mala calidad tres usos i lla se esta despegando la suela barato pero al final sale caro,negative
Muy buen precio y utilidad. Excelente Celular gama media.  Lo recomiendo!!,positive
"Todo mal, no funcionaron y no se hicieron cargo!!! Todo mal, no funcionaron y no se hicieron cargo!!!!",negative
"Excelente Excelente presentación, muy rico todo! Absolutamente recomendable.",positive
Excelente Perfecto llegó en lo acordado con el vendedor,positive
Excelente Muy bueno. Recomendable. Estoy muy conforme,positive
"Excelente muy bueno el producto, muy satisfecho",positive
"Excelente SUPER RICOSSSSSSS, MUY RECOMENDABLES....",positive
Malo Malo el antihaderente es malisimo en el segundo uso de pego todo ...,negative
Excelente Bueno lo que estaba buscando excelente,positive
No trae cargador original El manual (roto-cortado) y el cargador NO ES ORIGINAL.,negative
"No recomendado Malisimo, la pantalla es muy brillante...aunque lo pongas en mínimo el brillo sigue siendo demasiado. El microfono y el volumen cuando hablas por telefono son muy malos ambos se escuchan muy bajo, la pantalla se raya facilmente entre otras cosas. Es bueno en si por el precio, tiene buena memoria pero no lo vale.",negative
"No es version 1.5 real, chip usb malo. No ejecuta los comandos AT correspondientes a la version 1.4, es una copia, no es version 1.5 ni por asomo. Funciona para Torque y Scanmaster, pero no para PYren ni ddt4all. El fabricante del chip usb ya no tiene soporte para windows 10, 8 ni 7. Solo funciono con driver VIsta, muy complicado para instalar el driver.",negative
Perfecta Funciona muy bien. No es como la pegas original. Pero cumple su función.,positive
Buenísimo El producto es bueno muy colorido tal cual la imagen..muy contenta,positive
Eespero que sea bueno el tiempo lo dira Todavía no lo instale.  Cuando lo instale podre dar mi opinión.  Espero que sea bueno pero el tiempo lo dirá,positive
Es de los chinos malos. No comprar Acopla.... no se escucha bien...hace todo tipo de ruidos.... no recomendable,negative
"No recomendable! Mala calidad, lo devolvi! el talle mas grande es chico",negative
Mala definición nada qver c publicación. Mater.mal No tiene la definición q muestran en la foto y el Marco superior  inferior están arqueado.,negative
Excelente El juguete de muy buena calidad,positive
"Mierda Me parecio una compra desastrosa nunca me paso,y soy de comprar por mercado libre siempre estos vendedores no te solucionan nada por favor no compren estas bicis son una MIERDA!!!",negative
Quemado no tostado Excepcionalmente. Estamos casi seguros que el grano venía quemado no tostado. Muchísimo sabor a quemado.,negative
buenas hasta ahora me a  han resultado bien con una iluminacion mas fuertes que la luces normales,positive
"Todo bien Todo perfecto, recomendable el producto y el vendedor.",positive
"Malo al principio funcionaba  bien, aunque perdía presión por el borde de la tapa y donde esta pegada la manija,ahora ya pierde toda la presión por el borde, no sale mas vapor por la válvula - Se le empezo a aflojar la manija larga",negative
"Desastre, no lo recomiendo, se rompió a la semana, Un desastre no lo recomiendo U nadA! Las maderas internas son peores que la leña más berreta literalmente! Mí marido desarmo el sillón porque se rompió a la semana, y lo arregló él encolando y poniendo refuerzos de madera maciza, lo barato sale caro y lo comprobamos en esta compra. Es la primera vez que le erramos en algo en ML. Una lástima pero sirvió de lección, compramos todo de calidad cocina, calefactores, termotanque, bomba, mesas, grifería, de todo para nuestra casa y es la primera vez que comento porque no quiero que otro pase por lo mismo que nosotros. Suerte",negative
"Uniqlo trucha, no era la original. Claramente las Uniqlo son espectaculares, pero lo que compre no era una Uniqlo original. Todo deshilachado, no era de plumas el interior si no de sintetico, cierres pesimos y obviamente otra tela. Una verguenza.   No compren las Uniqlo sin verlas y tenerlas en la mano, hay mucho trucho y no son baratas que lo ameriten.",negative
"Excelente Es excelente, me lo compré para mí, pero es posible precioso para hacer un regalo",positive
Todo perfecto Muy conforme. Muy buen producto,positive
Muy mala calidad. La calidad de los accesorios es Pauperrima.,negative
"Muy bueno Muy bueno el productos y llego en muy buenas condiciones , tiempo y forma. Lo recomiendo",positive
Buen producto Muy recomendable para hacer los primeros pasos con el instrumento!,positive
Muy bueno Muy conforme con el producto. Y con la forma de entrega. Muy puntuales a pesar que vivo en oran. Salta,negative
"Mala Malo.no plancha , poca temperatura, y agarra poco pelo o sea, para la.mujer de hoy que necesita plancharse el pelo rápido no sirve.",negative
"Excelente EXCELENTE PRODUCTO, MUY BUENO!",positive
"Muy conforme con la compra Muy conforme con la compra, lo recibí en tiempo y forma",positive
"Excelente Muy linda la cortina, como se ve en la publicación.Muy recomendado.",positive
"Malo Son dynamic truchas, no son las orginales importadas.",negative
"Excelente Muy buen producto, relacion calidad precio.",positive
"Desilusionado... Estoy teniendo problemas con el producto, llamo al vendedor y no atiende nunca...",negative
Execelente Muy buena calidad recomendables,positive
Excelente Muy lindo hasta el momento. Se ve de buena calidad . Lo que demora mucho. No por culpa del vendedor. Despacho el producto en menos de dos días. Pero en la aduana estuvo casi 20 días descansando ....,positive
Excelente Excelente relación calidad/precio.,positive
Excelente Excelente calidad confiable muy buen servicio,positive
Muy malo No lo usé porque tengo que comprar la batería,negative
Muy Buen Producto!! Excelente producto!! Era lo q esperaba!! Vendedor muy recomendable.!,negative
"Malo Tachos abollados, compre dos me enviaron primero solo uno y abollado, luego del reclamo me enviaron el otro cesto....",negative
"Poco útil, mala calidad y caro. Entiendo que se trata de un producto artesanal y dudé mucho en escribir mi crítica para no afectar el trabajo ajeno, pero mi experiencia personal fue muy mala y si hubiera leído esta misma crítica de otra persona quizás hubiera evitado gastar casi mil pesos en una herramienta que se rompió a los primeros usos.  De los seis rulemanes que trae, tres se salieron y uno directamente se rompió.  El tope para mecha (de plástico) se corrió y casi perforo la madera de lado a lado.  Sumado a esto, además, no me pareció un producto lo suficientemente versátil (hice entarugado doble) y no hay forma lógica de hacerlo con esta herramienta.  Lamento mucho dar esta opinión, pero me pareció un producto poco útil, de mala calidad y nada barato. Jamás volvería a comprarlo.",negative
Muy malo Dejo de funcionar a la semana que la compré,negative
Muy bueno anda muy bien. Corte automático anda bien.,positive
"MALO! Ni es el de la foto de la publicación, no bate bien la proteína, no tiene goma en el borde y se derrama el líquido. Muy malo, perdí mi dinero",negative
"Pesimo el producto. La verdad pésima calidad, la goma de los sellos se despegó y no tenían tinta ni siquiera para sellar una vez. Los dibujos nada que ver con la imagen de la tapa.",negative
"lo recomiendo totalmente! excelente, buen precio y calidad",positive
