raw,rate
"EXCELENTE!!! EXCELENTE,CALIDAD,DISEÑO,PRODUCTO,MUY SATISFECHOS,NOS ENCANTO..MUCHAS GRACIAS!!!",positive
Malo. No me sirvió para nada. No cumplió la función que esperaba.,negative
Pésimo Pésima calidad del producto y de los geles adhesivos. Teniendo todos los cuidados necesarios se gastaron en tan solo 4 días!!! Nada recomendable.,negative
"Excelente Excelente producto. La terminación me sorprendió para bien, en cuanto a lo hermético y a la pintura. Ya las instalamos e iluminan excelente con las lámparas de 5w. Superó mis espectativas. Muy conforme. Llegaron antes de lo estipulado.",positive
"Muy bueno Se ve como un calzado resistente. Me hubiera gustado comprar de distintos colores, en una sola compra. Por ese lado tienen que perfeccionar, la oferta.",positive
Malo No es gran cosa se tapa continuamente el filtro y hay que desarmarlo y tratar de secarlo no colmo mis espectativas por su valor de venya ni lo recomendaria tamppco,negative
"Es peligrosa Ojo la bomba prende sola y es un peligro, ya que hace prender el calefon con las canillas cerradas, antes tenia pursta una bomba identica marca Rowa y esto no sucedia; si bien la bomba funciona, no es de excelente calidad",negative
"Excelente Cómodo, livianos y de buena calidad. Tiene lo necesario a la hora de comprar una zapatilla. Recomendables",positive
"Regular No funciona muy bien, el alcance del control remoto es corto y cuando se activa la alarma no se la puede cortar con el control remoto. Regular...",negative
Muy bueno Buen producto excelente calidad.,positive
Muy bueno hermosas compre 3 modelos diferentes mas,positive
Excelente remera Cumplio con lo acordado. Todo ok,positive
Fraude usado por nuevo Malo no era nuevo estaba en uso. Lo que comprobe . Primero dude del embalaje y eso me llevo a revisarlo,negative
Excelente Muy buen y efectivo producto!!,positive
"Recomendable Bueno, la verdad que viene con buenos anclajes no lo compre en mi casa para una MT sino para adaptar a otra moto y quedo 10 puntos.!!!",positive
"1 sin funcionar de las 4 que compre, 1 me vino fallada",negative
"excelente Excelente producto, solucionó mi problema. Buena atencion,. gracias!                                                                                                                                                                                                         .",positive
"Muy bueno muy bueno el celu, vendedor recomendable!!",positive
"Bueno Bien , no es  como el original pero es bueno.",negative
Regular No se pudo instalar!  Se tilda empieza a sonar sola,negative
No funcionan Compre dos calculadoras las use un mes y dejaron de andar las dos tuvieron el mismo problema,negative
"Muy malo mala calidad de producto, lo mismo para quien vende",negative
"Excelente Excelente producto, construido en buenos materiales, cumple con la función para la cual fue comprado.",positive
Excelente muy buena calidad!!! excelente,positive
