raw,rate
"Excelente muy bueno, execelete, lo retire perfecto estaba todo en orden",positive
Bueno Muy bueno el sonido. Pero deberia incluir algun tutorial de funciones,positive
"Conforme Ningun problema tal cual la foto de la publicacion, viene con una carga inicial.",positive
"Muy bueno Excelnte , nuevo posta, anda perfecto ..-",positive
ok todo ok muy bueno producto 100%original,positive
"Muy malo No lo recomiendo en menos de 10 dias se quedo sin tinta usandolo en modo borrador ,no realice mas de 15 impresiones, por ser economica utiliza demasiada tinta",negative
excelente excelente muy bueno el producto,negative
Tal como lo esperaba Excelente producto. Nunca falla la calidad de loreal,positive
"Muy bueno Buena calidad,cumple su función.Es lo que se esperaba",positive
Excelente Muy bueno! Ya está en funciones para lo cual fue requerido!,positive
Llegó incompleto sin cargador ni manual estafadorv El envío incompleto sin el cargador ni el manual... Una vergüenza que estafen a los clientes. Espero me envíen lo que falta sino los denuncio en defensa del consumidor por publicidad engañosa,negative
defreudada sumamente lenta ya reclame a la garantia y no se quieren hacer cargo dicen que la computadora es asi porque es el modelo mas barato!!!!!!!!!!!!!!!!!!!!!!!!!!!!,negative
"Malo Esta mal diseñado cuando lo das vuelta para fondos queda sobresalido de la pared impidiendo el uso, y es muy corto.",negative
"Muy bueno Es de muy buena calidad, gracias",positive
Buen Buen producto lo único un poco chico para que cubra bien las manijas de la Toyota hilux,negative
"Malo Muy buena, especial, para practicar",negative
Malisimo el producto Horrible el material no lo aconsejo,negative
MALISIMO PRODUCTO Malisima calidad ! Me duro dos semanas . Donde traba la baulera es un plastico berreta que se corto. Y se me cayo la baulera en la autopista . NO RECOMENDABLE PARA NADA,negative
"MALISIMO VENDEDOR El producto es muy bueno, salvo que se rompio una rosca y lo VERDADERAMENTE LAMENTABLE es el PESIMO servicio de POSTVENTA que nos dio este vendedor luego de haberles comprado dos productos por mas de 20000 pesos. NOS DEJARON TIRADOS Y NOS MANDARON A BUSCAR SOPORTE en EL FACE (textual) del fabricante. MUY POCO SERIOS. No hacen diferencia entre si estan vendiendo caramelos o hardware high-end. NO SON RECOMENDABLES. OJO CON ELLOS.",negative
"Excelente producto Excelente producto, es muy potente, facil de limpiar y de tener a mano",positive
