raw,rate
"Malo Baja calidad, cuando levanta temperatura aparecen manchas en la membrana plastica. Espero que dure unos meses",negative
Pesimo No funcionaron!!!!   Pésimo producto no lo recomiendo   Ni a los que no son de Neon!!!,negative
"Excelente Excelente producto, excelente vendedor, rapido envio contesto siempre mis consultas, recomendable.",positive
Mala No imprime no la puedo usar aun!,negative
"Excelente muy bueno! vendedor muy recomendable, cumplió en todo y el producto fue lo esperado! gracias",positive
Mala Me faltaron algunas cosas que nunca me respondieron ni dieron solucion,negative
"Mala calidad Muy mala calidad, no alcance a darle sos usos y la tela se abrió. No lo recomiendo.",negative
"Desconforme No me llego el pegamento para tips, lo reclamé al vendedor quedo en enviarlo y aún sigo esperando.",negative
Excelente Muy buena. Gracias. Saludod.xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,positive
"Esperaba más. El libro no parece lo que es. Parece una revista. Es bastante escueto, y para lo que un director de fotografía necesita, se queda muy atrás. Casi no aporta nada.",negative
Malo El color de la foto diferia mucho del real. Foto celeste producto azul. Muy engañosa,negative
"cuidado con el producto y con el vendedor! A mi me vino manchado con pintura, me costo la devolución pq no me crean que me había llegado así. quise cambiarlo y no me dejaron. tengan cuidado!!!!",negative
"El juego es muy bueno ,buena imaguen y calidad , Muy bueno excelente lo recomiendo",positive
"Excelente excelente producto, llego a tiempo, muy bueno",positive
"Poco satisfecha con su confección Pensé que era más elastizado y solo me gustó el color, no va con talle real",negative
"Muy malo No recomiendo, son para descartar al tercer uso. La Caja portacubiertos resistente a lavavajillas es extremadamamente fina. En el correo argentino rompieron envoltorio y portacubiertos. No recomiendo.",negative
Muy bueno Muy buen producto estoy más que conforme,negative
Vidrioso el producto Nunca funcionó..... No juntaba presión la bomba.... Me gaste 2 litros de líquido de freno y nada... Fui... Compre otra en otro lugar y a la segunda purgada ya tenía embrague,negative
"Producto Muy buenos los botines, de muy buena calidad, son recomendables llego en tiempo y forma, cuando el vendedor nos dijo llego. Muchas gracias.",positive
"Regular La calidad es buena, pero la suela es de muy mala calidad, se rompen  desde adentro donde uno pisa, y por la tanto  te lastima  el talón.",negative
"Mala calidad. Muy mala calidad. Se derritio toda la parrilla del frente en los primeros usos, cosa que nunca me paso con otros caloventores.",negative
Eficiencia y calidad Rapidez y calidad. Me dio indicaciones precisas de cómo cuidar el cerramiento para mayor durabilidad,positive
"No recomendable El comprador bien. El producto llego en tiempo y forma. Sin embargo no es lo que dice la publicacion. No dura ni loco 24 hs. Hice 2 pruebas, a 10 horas llego tibio para frio y a 8/9 horas llega tibia. No me sirvio, lo devolví. Debe durar como mucho 6 horas el agua caliente.",negative
para salir del paso mala funda se nota que no es original en la textura interna es similar pero la externa se nota mucho sobre todo en la dureza del plastico y lo poco anti deslizante que es,negative
"Muy buen producto Muy bueno. Excelente, llegó todo perfecto",positive
No era lonq se vendia en las fotos ............... No era lo q demuestra en las fotos de ventas,negative
"Mala calidad se descose rápido. Mala calidad se me descosió en una semana en una de las tiras y en otros puntos, se ve muy linda en diseños  , pero si vas a llevar cosas dentro y usarla como mochila se te va a romper, a menos que no lleves casi nada de peso",negative
"eexcelente! súper recomendable excelente! la barra, la atención, el envío, todo. faltaron unos tornillos y la explicación y comunicación para comprarlos nos fue exacta. económicos como para instalarla enseguida pero ofrecian el envío.  súper recomendable. gracias",positive
"Excelente Muy buenos pinceles, se adaptan a todas las tecnicas",positive
"Desastre Nunca llego, reclame y no se hicieron cargo",negative
Muy bueno Muy buen producto  la calidad firestone  recomendable,positive
Excelente Tiene muy buena definición. En calidad precio impecable.  Es un poco mas grande y pesado de lo que pensaba pero es muy solido.,positive
Muy malo Compre 3 y 1 me llegó quemado muchas vueltas para responder y ninguna solución después..,negative
Bueno Queda un buen efecto mate. Bien.,negative
Excelente Excelente Todo! Proveedor recomendable! Gracias,positive
Excelente todo Muy buen producto tal cual como esperaba,positive
malarelacion la cintura no guarda relación con el largo (debería traer algo para permitir acortarlo),negative
Excelente Al momento lo estoy probando y no tengo ninguna critica. Muy buen producto y de buen material. Muy satisfecho.,positive
Una mochila más del montón Complica bastante el sistema de cierre y las costuras no son buenas. Tiene muchos bolsillos pero no para cargar demasiado,positive
muy lindo excelente ..pero muy chiquito.. no parece en el dibujo...,positive
"hay que comprar con garantía escrita uno funciona hasta ahora bien , los cargue 72 horas , pero uno se cae la luz, creo que me aperrearon con la batería , lo puse a cargar 48 horas y me duro con buena potencia una noche ,los tengo puestos con el sensor de movimiento  a los dos , y les da a los dos la misma intensidad de sol a pleno , no se si tengo garantía de las baterías , y no las consigo la batería de litio 3,7v incluida 4400mach",negative
"muy recomendable El producto es muy bueno, yo tuve que hacer un rejunte entre el que yo tenia roto y el que compre porque el modelo de mi maquina es muy viejo pero el pedal me sirvió a la perfección",positive
"Muy defectuoso Una porquería, no la llegué a usar 2 meses y ya la tengo que mandar a la garantía",negative
Bien Buenos por el precio..............,positive
mas o menos muy bueno el parlante pero el micrófono se rompió de la nada no duró ni dos días,negative
excelente .buena calidad .................,positive
Muy delicado Muy práctico y muy lindo justo lo que esperaba,positive
Muy buen casco Muy buen.producto.justo lo que necesitaba,negative
Rregular O no la supe armar. Pero se balancea mucho.,negative
"Muy bueno Impecable, muy conforme, a tiempo y en buen estado, recomendable",positive
Muy bueno Muy recomendable si buscas un pase de batalla ;),positive
