raw,rate
"Muy bueno Muy buen producto , excelente calidad altamente recomendable",positive
"100% CALIDAD Excelente, 100% Ringke, no conozco nada mejor!!",positive
"Malo Todo bien tanto el producto como la atención llegó en tiempo y forma nada de que quejarse ,muy bueno-",negative
"Hermoso!!! Muy lido set,muy buen producto(quise poner 5 estrellas)",negative
Le doy un 10! Excelente pieza de relojería!!��,positive
"Muy buen producto Es a mi parecer el mejor impermeabilizante. Yo puse en mi terraza hace unos seis años y ahora voy a pasar de nuevo, sólo por precaución. Recomendable 100x100.",positive
Excelente Hermosos y excelente  calidad. Recomendable,positive
Uno de los mejores vasos termicos!!! El vaso está terrible. Cumple totalmente con las espectativas. Es uno de los mejores.,positive
Buenisimo Buenisimo!muy buena calidad y duracion,positive
Es de muy mala calidad La verdad es de muy mala calidad,negative
"Excelente La calidad y los dijes colgantes, preciuosos!!!",positive
"Muy bueno! Muy buena placa, muy buena calidad del producto!!",positive
Muy malo Creia que alumbraba mas y una ya no funciona,negative
"Malo Poca potencia, pense que la llama era mas fuerte.",negative
Muy bien Es el producto que esperaba muy bueno,positive
Bueno May buen producto por el precio,negative
Excelente Sin ningún problema la verdad recomdable,positive
Maso Hola si no son como pensé se  escucha sólo con el  volumen más alto y hacen dolor el oido,negative
"Mal Hice la compra de un pata para,  cómo no lo retire me dijeron que me hacían la devolución del dinero y no me hicieron nada todavía. Quiero saber cuando me lo hacen.",negative
para melamina no sirve este disco hoja sierra mdf 255 mm no sirve para cortar melamina cacha un monton,negative
Una desilusión Placa de muy mala calidad no la recomiendo  para nada  si sabia que era temporal no la compraba 3 meses colocada  pésima recepción de señal y el pin se desoldo completo..,negative
No me gusto Todavia no pago la primer cuota y solo anda una . dejo de andar de la nada,negative
excelente!!! aprenden fácil con ellos excelente!!! ya aprendió a patinar mi nena,negative
Impecable! Perfil de excelente calidad. Los cortes muy bien terminados y las medidas correctas.,positive
"Malo No me dió resultado, me duró 24 hs y se rompió",negative
Exelente Exelente calidad. Llegó en tiempo y forma.,positive
"Buen producto, relacion precio-calidad Tal cual las fotos, un producto lindo, elegante y con buenas prestaciones para el precio publicado. Muy conforme con las jaulas, tanto la grande como la mas chica.",positive
"Muy bueno Bueno.. por se principiante en el tema,.. solo se me rompió el pincel pero nose si fue por el mal uso.",positive
Excelente Excelente relación precio calidad,positive
Muy malo Exelente producto .llegó a tiempo .lo recomiendo,negative
"Buen audio! Lindo audio! Tuve unos sentey que no me duraron ni seis meses, vamos a ver estos que tal",positive
"excelente funciona excelente, cumplió con mis expectativas.",positive
"excelente excelente producto, recomendable.",positive
"mmm Bueno , es y no es .. No creo que tenga 300 mts son rollitos mas bien de 150 mts a 200 y no es bien blanco , pero el precio es bueno",negative
"Excelente Es lo que necesitamos, muy bueno",positive
