raw,rate
Maloo Nooo lo recomiendoo hay imitaciones de mejor calidad,negative
impecable muy buen reloj impecable muy bueno excelente funciona muy bien y se conecta con el celular,positive
Todo bien Todo muy bien! Muy buena atención,negative
Excelente Buen producto.  Era lo que esperaba,positive
Excelente Hermosas la mejor calidad !! Súper fuertes y el color una belleza !,positive
"Malísimo Muy malo la batería no me dura ni 12 hs, no vale la pena, no lo recomiendo",negative
Muy malo No me sirvió  no me carga el celular,negative
Exelente atenvion al clente y muy responsable Llego en tiempo y forma y mas ante de lo acordado tambien,positive
Muy bueno Para mì excelentes muy recomendables !,positive
"Te cobran una hoja y te mandan otra mas barata Quiero denunciar a Casa Hendy y a la ves pedir ayuda a Mercadopago y a MercadoLibre por los motivos qué paso a detallar: adquirí una hoja de cuchillo marca Libertad, ellos me enviaron una marca TRENTO que es mucho más económica. Cuando la recibo en mi domicilio hago el reclamo inmediatamente y me llaman telefónicamente explicándome que para evitar inconvenientes diga a ML que el reclamo estaba solucionado, que abone $700 más y que ellos me enviarían la hoja libertad que yo necesitaba. Ingenuamente accedí a sus exigencias sin percatarme que yo quería comprar una hoja y por la presión de ellos terminé comprando 2 (marca y modelo a elección de ellos no?). Quedaron en enviarme la nueva hoja y un mail informando cuando saldría y cuando llegaria estimativamente a mi domicilio. NUNCA MÁS TUVE NOTICIAS DE ELLOS. Hoy me comuniqué telefónicamente con ellos; me atendió un señor en muy mal tono, medio que me retó y me terminó cortando la comunicación. Deseo aclarar que somos clientes de casa Hendy desde hace muchos años y hacemos compras mensualmente. Por todo lo expuesto solicito la INMEDIATA INTERVENCIÓN DE MERCADOLIBRE Y MERCADO PAGO YA QUE ME ENCUENTRO EN UN TOTAL ESTADO DE INDEFENSIÓN",negative
Muy malo Mala calidad del plástico. Estética buena pero no creo que dure mucho. Ordinario.,negative
Buena atención y buen producto Excelente producto!  Recomendable,positive
"Excelente Bellisimos! de excelente calidad! los aromas son exquisitos! Armados quedan preciosos, tienen en cuenta hasta el ultimo detalle",positive
"Mas de lo esperado Fue mas de lo que esperaba, y además me llegó super rápido. Necesité dos, con diferentes bordados y me los hicieron enseguida. El producto es muy lindo, es ideal para cuando recién nacen.",positive
"Excelente Buen producto , lo que esperaba!!",positive
Excelente Excelente producto y vendedor muy rápido todo,positive
Excelente Para continuar esta tremenda saga. Ideal para los amantes del género fantástico,positive
